,Country,Confirmed,2019GDP/billions,2020GDP/billion,2019GDP/billion
0,Afghanistan,208982,1.8904490262912997e-08,2.0143442150971002e-08,1.47868616384535e-08
1,Albania,334255,1.5401830754077298e-08,1.51318662705936e-08,1.82557874791846e-08
2,Algeria,271409,1.7176740374818998e-07,1.4500918149062e-07,1.63044443983759e-07
3,Andorra,47860,3.1550654875181897e-09,2.89102227298687e-09,3.33028152353915e-09
4,Angola,105184,6.930911014576871e-08,5.3619073505137705e-08,6.74042872603199e-08
7,Argentina,10040329,4.47754609218678e-07,3.85540224628292e-07,4.8722733910267e-07
8,Armenia,446332,1.36192913612814e-08,1.26416975232966e-08,1.3861409968835e-08
11,Azerbaijan,828229,4.8174235294117603e-08,4.2693e-08,5.46221764705882e-08
12,Bahamas,37491,1.31928e-08,9.6995e-09,1.1208600000000001e-08
13,Bahrain,700835,3.86533180851064e-08,3.47233574468085e-08,3.88686630319149e-08
14,Bangladesh,2037679,3.51238474244667e-07,3.7390213470041e-07,4.1626494289332603e-07
15,Barbados,106434,5.3242500000000005e-09,4.6718e-09,4.8438e-09
17,Belgium,4700949,5.35830876745097e-07,5.252118106526079e-07,5.94104177539525e-07
18,Belize,70697,2.4165e-09,2.0800000000000003e-09,2.4915e-09
19,Benin,27990,1.4391686309033003e-08,1.56515452088783e-08,1.71449189524682e-08
20,Bhutan,62608,2.53565706905537e-09,2.3251844814277002e-09,2.53955298467797e-09
21,Bolivia,1191090,4.0895322843785105e-08,3.66298438050216e-08,4.04082085281599e-08
22,Bosnia and Herzegovina,401472,2.0202479537519298e-08,1.9950471170646498e-08,2.33653616352201e-08
23,Botswana,329494,1.6695928792569698e-08,1.49300724585814e-08,1.7614791265682398e-08
24,Brazil,36932830,1.87327443275447e-06,1.4485599762181898e-06,1.60898145632508e-06
25,Brunei,276825,1.3469422958510499e-08,1.2005825759223e-08,1.4006569575680001e-08
26,Bulgaria,1295870,6.891587521465369e-08,7.02402750101964e-08,8.40563127343089e-08
27,Burkina Faso,22025,1.61781620300694e-08,1.79336063531775e-08,1.97376151143661e-08
29,Burundi,53574,2.57651884639e-09,2.64967199886192e-09,2.7798134890244697e-09
30,Cabo Verde,63235,1.9818457407061502e-09,1.7036986766974197e-09,1.93617404345293e-09
31,Cambodia,138704,2.7089389786979003e-08,2.58727980121938e-08,2.6961061119795703e-08
32,Cameroon,123993,3.96709773327348e-08,4.07732415312395e-08,4.53382833448175e-08
33,Canada,4580032,1.7420150454823101e-06,1.64542340756836e-06,1.98833633171742e-06
34,Central African Republic,15368,2.22130140072468e-09,2.32672092059223e-09,2.5164982990121197e-09
35,Central African Republic,15368,3.2486400147602097e-06,2.98262688840766e-06,3.5173726587536803e-06
36,Central African Republic,15368,8.871026074197622e-09,7.78087453666054e-09,8.543423502613401e-09
37,Central African Republic,15368,1.0572035498854101e-07,1.0669682862555e-07,1.165271010977e-07
38,Central African Republic,15368,4.1580418686193095e-06,3.89171678050241e-06,4.550386471314901e-06
39,Chad,7652,1.1314951342780701e-08,1.07153961354168e-08,1.1779980801784299e-08
40,Chile,5138732,2.7858473310301e-07,2.52727193710018e-07,3.1705850865176003e-07
41,China,4903517,1.42799375006065e-05,1.4687673892882e-05,1.77340626453714e-05
42,China,4903517,3.6305248918439504e-07,3.44932192028051e-07,3.69176400967427e-07
43,China,4903517,5.52047580695124e-08,2.5459563655480596e-08,3.01239148085691e-08
44,Colombia,6355637,3.23109540251855e-07,2.7029998493797e-07,3.1446413724133006e-07
45,Comoros,8992,1.1950195590938102e-09,1.22503923074083e-09,1.29608963260039e-09
46,Congo (Brazzaville),32818,1.27503390229915e-08,1.0483151175845099e-08,1.3366230219535201e-08
48,Costa Rica,1190377,6.441767008261271e-08,6.21580022330279e-08,6.4282438666739e-08
49,Cote d'Ivoire,88063,5.8539424929724805e-08,6.13485794651017e-08,7.00431914770454e-08
50,Croatia,1268224,6.23279835795899e-08,5.74720124266853e-08,6.89550832801922e-08
53,Czechia,4595326,2.52548179964897e-07,2.45974558654043e-07,2.81777887121451e-07
